Epoch,Loss,Recall,Precision,NDCG
0,4.419947868645793,0.001477382540859636,0.0005727108312680027,0.001044192252741288
1,4.112669502845918,0.0014242546797779054,0.0005542903074552896,0.0009814574486716068
2,3.8260318227488583,0.0013431902720290527,0.0005291714113470437,0.0009202658780486672
3,3.575437155636874,0.0012189097132430915,0.00047390983990890307,0.0008470511240427097
4,3.3275006154570916,0.0012076821334133768,0.00045548931609618964,0.0008497537516878273
5,3.115328768889109,0.0011312757227857038,0.0004236720476924114,0.0007830535612563521
6,2.90934782196777,0.0010769141532940786,0.0004035769308058148,0.0007404216954803929
7,2.723286241593987,0.0010481256806379013,0.00039520396543639956,0.0007043773327328502
8,2.5574529508147577,0.0010193832649700188,0.00038683100006698437,0.0007056878386352318
9,2.410441867028824,0.001021095085362658,0.0003851564069931012,0.0007003142841901698
10,2.2532322731885044,0.0010058104261485342,0.00037343425547591984,0.0007139496643477539
11,2.1158015297518835,0.0010111802163872382,0.00036506129010650454,0.0007013592921094967
12,2.0045425958103604,0.0009407121906014254,0.00034998995244155703,0.0006916381058894894
13,1.8950441762654469,0.0009374527951714932,0.00034496617321990786,0.0006687309866992945
14,1.781661818123827,0.0009169742590859441,0.00033826780092437555,0.0006429311928749029
15,1.6858049414374612,0.0009338661342757872,0.00033994239399825864,0.0006648245852445447
16,1.6059577961762745,0.0009113375877419414,0.00032822024248107737,0.0006138277025078853
17,1.5097775067945924,0.0009247453769465004,0.00033156942862884345,0.0006201730644722677
18,1.4385256953913756,0.000933586552539701,0.0003231964632594281,0.0006294226508168732
19,1.3674389310557433,0.0009476432338248874,0.00031817268403777876,0.0006756715099541762
20,1.2944562685008,0.0009650825544563179,0.00033324402170272627,0.0006295382033681276
21,1.2247109762345902,0.001007145191688813,0.00033324402170272627,0.0006962297222384235
22,1.1739300466848142,0.0010545012512153784,0.0003449661732199076,0.0006996606701202764
23,1.1164001528963898,0.0011407836331146508,0.00035333913858932295,0.0007213717161655483
24,1.0584306452009413,0.0011721571869597086,0.00034998995244155687,0.0007107534683129155
25,1.0080781356252806,0.0011874472377128753,0.00036506129010650427,0.0007380436115742668
26,0.9585201138197773,0.001243633179182603,0.00038013262777145183,0.0008441003932844599
27,0.9193701646243683,0.0012565004168982132,0.00039687855851028243,0.0008259798632161163
28,0.878874872067962,0.0013850481023718402,0.0004253466407662943,0.0008572504518251273
