Epoch,Loss,Recall,Precision,NDCG
0,4.601663112640381,0.0,0.0,0.0
1,4.523402009691511,0.0,0.0,0.0
2,4.383021116256714,0.0,0.0,0.0
3,4.301612666675022,0.0,0.0,0.0
4,4.121155227933611,0.0,0.0,0.0
5,4.092675873211452,0.0,0.0,0.0
6,3.975706900869097,0.0,0.0,0.0
7,3.902647716658456,0.0,0.0,0.0
8,3.796767098563058,0.0,0.0,0.0
9,3.6247875349862233,0.0,0.0,0.0
10,3.5520389761243547,0.0,0.0,0.0
11,3.5596200057438443,0.0,0.0,0.0
12,3.4748523235321045,0.0,0.0,0.0
13,3.427796244621277,0.0,0.0,0.0
14,3.3454315151487077,0.0,0.0,0.0
15,3.263901318822588,0.0,0.0,0.0
16,3.23628876890455,0.0,0.0,0.0
17,3.136723824909755,0.0,0.0,0.0
18,3.0843839815684726,0.0,0.0,0.0
19,2.9870506014142717,0.0,0.0,0.0
20,2.8939972605024065,0.0,0.0,0.0
21,2.8725239038467407,0.0,0.0,0.0
22,2.770314199583871,0.0,0.0,0.0
23,2.7240894862583707,0.0,0.0,0.0
24,2.690121293067932,0.0,0.0,0.0
25,2.6215094327926636,0.0,0.0,0.0
26,2.6068879195622037,0.0,0.0,0.0
27,2.520214557647705,0.0,0.0,0.0
28,2.530636293547494,0.0,0.0,0.0
29,2.471384252820696,0.0,0.0,0.0
30,2.4089344569614957,0.0,0.0,0.0
31,2.315786140305655,0.0,0.0,0.0
32,2.300125207219805,0.0,0.0,0.0
33,2.3007816757474626,0.0,0.0,0.0
34,2.1682517613683427,0.0,0.0,0.0
35,2.141181332724435,0.0,0.0,0.0
36,2.1627370544842313,0.0,0.0,0.0
37,2.0926301053592136,0.0,0.0,0.0
38,2.081866979598999,0.0,0.0,0.0
39,2.000923122678484,0.0,0.0,0.0
40,1.97935152053833,0.0,0.0,0.0
41,1.8703327093805586,0.0,0.0,0.0
42,1.9023339322635107,0.0,0.0,0.0
43,1.8559963021959578,0.0,0.0,0.0
44,1.8798823697226388,0.0,0.0,0.0
45,1.8629935894693648,0.0,0.0,0.0
46,1.749316189970289,0.0,0.0,0.0
47,1.7389433298792158,0.0,0.0,0.0
48,1.7228534051350184,0.0,0.0,0.0
49,1.6943329998425074,0.0,0.0,0.0
50,1.6454617551394872,0.0,0.0,0.0
51,1.636269279888698,0.0,0.0,0.0
52,1.611965341227395,0.0,0.0,0.0
53,1.5755508542060852,0.0,0.0,0.0
54,1.556166512625558,0.0,0.0,0.0
55,1.5165330682482039,0.0,0.0,0.0
56,1.5258714726993017,0.0,0.0,0.0
57,1.4614164744104658,0.0,0.0,0.0
58,1.4623223628316606,0.0,0.0,0.0
59,1.4288092340741838,0.0,0.0,0.0
60,1.3906216025352478,0.0,0.0,0.0
61,1.3852259261267525,0.0,0.0,0.0
62,1.3574428643499101,0.0,0.0,0.0
63,1.3208314861570085,0.0,0.0,0.0
64,1.2942760842187064,0.0,0.0,0.0
65,1.2969625081334795,0.0,0.0,0.0
66,1.2907792500087194,0.0,0.0,0.0
67,1.2475817884717668,0.0,0.0,0.0
68,1.2231211406844003,0.0,0.0,0.0
69,1.217330345085689,0.0,0.0,0.0
70,1.1994667393820626,0.0,0.0,0.0
71,1.1937482782772608,0.0,0.0,0.0
72,1.164131053856441,0.0,0.0,0.0
73,1.1621808409690857,0.0,0.0,0.0
74,1.1315948537417821,0.0,0.0,0.0
75,1.107766560145787,0.0,0.0,0.0
76,1.1047514464173998,0.0,0.0,0.0
77,1.09172323346138,0.0,0.0,0.0
78,1.0870990540300096,0.0,0.0,0.0
79,1.0733917951583862,0.0,0.0,0.0
80,1.0489483220236642,0.0,0.0,0.0
81,1.0156873975481306,0.0,0.0,0.0
82,0.9944697490760258,0.0,0.0,0.0
83,0.9697284741061074,0.0,0.0,0.0
84,0.98685194339071,0.0,0.0,0.0
85,0.9606656219278064,0.0,0.0,0.0
86,0.9665079244545528,0.0,0.0,0.0
87,0.9550011370863233,0.0,0.0,0.0
88,0.9082294617380414,0.0,0.0,0.0
89,0.8931425724710736,0.0,0.0,0.0
90,0.8826088564736503,0.0,0.0,0.0
91,0.9067711446966443,0.0,0.0,0.0
92,0.9116949481623513,0.0,0.0,0.0
93,0.8621253584112439,0.0,0.0,0.0
94,0.8414385531629834,0.0,0.0,0.0
95,0.8440176546573639,0.0,0.0,0.0
96,0.8073388976710183,0.0,0.0,0.0
97,0.8293502245630536,0.0,0.0,0.0
98,0.8102516233921051,0.0,0.0,0.0
99,0.8153193422726223,0.0,0.0,0.0
100,0.8112036628382546,0.0,0.0,0.0
101,0.7685067100184304,0.0,0.0,0.0
102,0.7757251390389034,0.0,0.0,0.0
