Epoch,Loss,Accuracy,Recall,Precision
0,55.55788847386394,0.5164490645256334,0.5062499425134058,0.5173224053988007
1,41.9742407804041,0.5339615866234532,0.5380070132810558,0.5338843730021007
2,33.045993868972026,0.5516720683559222,0.5745209401117422,0.5480122970675546
3,26.950363681108808,0.5677482321744255,0.6012908809664114,0.563489050339103
4,22.56193473957259,0.5783091484973483,0.6234232899294301,0.5692588708859047
5,19.19503557585977,0.5885846346493813,0.6419371505544996,0.5791616028767876
6,16.59088401474985,0.6007016057748968,0.6594178192641191,0.5897886018049202
7,14.482441052194078,0.6086245948733058,0.6746487017337751,0.5972617209718046
8,12.650969403127977,0.6136472451384797,0.6832648256963411,0.6002779101800761
9,11.063505865326235,0.621155900117855,0.6927004608294931,0.6055903373701725
10,9.7412175419282,0.6251335076605775,0.6999577003715011,0.6093566127908931
11,8.566378700957326,0.630915770477313,0.7063129339279967,0.614257609443227
12,7.48552835596024,0.6373333456098998,0.7159889801070661,0.618390896068757
13,6.592364038914786,0.6422362993517973,0.722191080929583,0.6233868217115752
14,5.784837879413563,0.6475489835002947,0.7272860815277268,0.6283493297374475
15,5.058222720824179,0.6530274012964055,0.7340535453991919,0.6309433184254766
16,4.423536959625304,0.659214790807307,0.741146400428147,0.6359943622715611
17,3.864510240270772,0.6656507807896288,0.7480766938390017,0.6437290409121394
18,3.3598569267488125,0.6728601944608132,0.7553420771469623,0.6482617425260462
19,2.9141912463340813,0.6782971788450206,0.7614551283232308,0.6526930031663811
20,2.523869235107996,0.6863905053034767,0.7701184442536535,0.658717624763108
21,2.1766313106777506,0.6970573070123748,0.7785809659744923,0.669390146387035
22,1.8846059972277598,0.7052058780200353,0.7869891989611915,0.6775029427797221
23,1.6199420214471592,0.7129032852091927,0.7945550957061562,0.6818967430945359
24,1.3987865039458074,0.7237680465527401,0.8029861449493881,0.6936535544383821
25,1.2045981986796919,0.7328603786093105,0.8138046765508593,0.6999643126214362
26,1.0312225968516782,0.7432647687094873,0.8219529290246421,0.7096753644883627
27,0.8849234909671501,0.7526839643488509,0.8287830648736515,0.7183489837251935
28,0.7579951006445317,0.7631297878609311,0.8385331953275174,0.7275409730908624
29,0.6525164347834771,0.7751086476134355,0.8495908331872573,0.7388614755084848
30,0.5584801331110655,0.7849099513847967,0.855355581127733,0.7497700166233598
31,0.47951835113022634,0.7958023350029464,0.8638245794839707,0.7605502580347233
32,0.4161859139008985,0.8065151738361815,0.8715326447805238,0.7708350325432687
33,0.35834172944059905,0.8171819755450795,0.8803403030247107,0.7810624728814808
34,0.31066990495528596,0.826007292280495,0.8879751731250921,0.7900226125712787
35,0.2716954657671095,0.8370101649970536,0.8943252511993788,0.801426429535872
36,0.2390154953036551,0.8487035945786683,0.9045372886821134,0.8135476654099515
37,0.21127897357136402,0.8570777474955804,0.9105711353360517,0.8216747042234719
38,0.18697194720997048,0.8657833677077195,0.9159056281453437,0.831869836876756
39,0.1687071822427106,0.8745718547436653,0.923178040888366,0.8416963499979047
40,0.1527102757045176,0.8823475250441957,0.9282785185731268,0.8500257368763027
41,0.13972252669885019,0.8896996538008249,0.9314910818699988,0.8596254185149306
42,0.1283237102335099,0.896476318503241,0.936066373840898,0.8673697503370364
43,0.11916974380901968,0.9037962212728344,0.9414247052887482,0.8761055902742205
44,0.11134863054201179,0.9095784840895699,0.9435200957598637,0.8835382572556865
45,0.10472085591488624,0.9153837654684738,0.9483046340613596,0.8903121395244736
46,0.09880396497634081,0.9209772760754272,0.9516491408997992,0.8966381815815729
47,0.09406839497946586,0.9251160135533294,0.9545835829838226,0.9013116095285343
48,0.08987310021199836,0.9299176856216853,0.9574432792082128,0.9073807215657506
49,0.08629561615626635,0.933375073659399,0.9602680752601934,0.9111161647525999
50,0.0827300173296246,0.9369613656452563,0.962643836877474,0.9156356440498393
51,0.08035382189458158,0.9387798320565705,0.9637146880954354,0.9179679622631584
52,0.07742657979014719,0.9419149602239246,0.9654305294572787,0.9220233120738949
53,0.07542844658308726,0.9440004419563937,0.9668924211011287,0.9244865774472921
54,0.07381477775127238,0.946537087507366,0.968432360961904,0.9280660999947205
55,0.07186328602854976,0.9476051487919859,0.9683291265176779,0.9297446466004475
56,0.07019578446209582,0.9497642899233942,0.9693668597572225,0.932633428586642
57,0.06904547637895628,0.9507678992339422,0.9712445640156262,0.9329751832052962
58,0.06764183825755697,0.9517208677077195,0.970955773774365,0.9347816428983962
