Epoch,Loss,Accuracy,Recall,Precision
0,62.69509350458781,0.505926724137931,0.4872364039955605,0.49105145413870244
1,57.06601721393175,0.5088541666666667,0.5045592705167173,0.523109243697479
2,56.02918710708618,0.5239583333333333,0.5297741273100616,0.5308641975308642
3,50.72488931020101,0.5390625,0.544290288153682,0.5268595041322314
4,48.28348412513733,0.5447916666666667,0.5751565762004175,0.5412573673870335
5,45.28176808357239,0.5583333333333333,0.5977482088024565,0.5620789220404235
6,43.34568271164066,0.5401041666666667,0.5738396624472574,0.5317693059628543
7,42.03824909528097,0.5369791666666667,0.5514316012725344,0.5273833671399595
8,40.266890313014514,0.5894396551724138,0.6165745856353592,0.5734840698869476
9,39.940321588516234,0.5791666666666667,0.6450261780104712,0.567741935483871
10,38.02873022556305,0.5869791666666667,0.6449948400412797,0.5819366852886406
11,36.19040268262227,0.5927083333333333,0.6648936170212766,0.5723443223443223
12,37.187501134951255,0.603448275862069,0.6712913553895411,0.5950804162724692
13,34.77737571398417,0.5927083333333333,0.6725025746652935,0.5846016114592659
14,32.992528692881265,0.6010416666666667,0.7005405405405405,0.5699208443271768
15,33.24949849341527,0.5942708333333333,0.6815352697095436,0.5819309123117803
16,33.96828410625458,0.6119791666666666,0.7026748971193416,0.5996488147497805
17,32.141069467862444,0.6338541666666667,0.7341389728096677,0.6241438356164384
18,31.090448999404906,0.6322916666666667,0.7354771784232366,0.6112068965517241
19,31.44471743106842,0.6411458333333333,0.7551020408163265,0.6223717409587889
20,31.801606194178262,0.6463541666666667,0.7551652892561983,0.6231884057971014
21,31.67210926214854,0.6395474137931034,0.7687366167023555,0.6131511528608027
22,30.356542126337686,0.6604166666666667,0.778672032193159,0.6417910447761194
23,30.13278658390045,0.6828125,0.8343881856540084,0.6363636363636364
24,30.63015701356998,0.6401041666666667,0.7712707182320442,0.5905245346869712
25,30.41246836980184,0.6828125,0.8192148760330579,0.6462917685411573
26,29.116590785980225,0.6651041666666667,0.8183716075156576,0.6256983240223464
27,28.978333115577698,0.6796875,0.8158953722334004,0.6524537409493162
28,28.3862402677536,0.6833333333333333,0.8295687885010267,0.6464
29,27.96071311632792,0.68125,0.8328236493374108,0.6458498023715415
30,27.333771284421285,0.6916666666666667,0.848730964467005,0.653635652853792
31,26.752364428838096,0.696875,0.8552361396303901,0.6538461538461539
32,27.703223464902766,0.7041666666666667,0.86302780638517,0.6582875098193244
33,27.97982674286145,0.703125,0.8654618473895582,0.6640986132511556
34,28.207625286638244,0.6890625,0.8586387434554974,0.6396255850234009
35,27.12495790434278,0.7203125,0.8874868559411146,0.6624803767660911
36,26.40515730381012,0.7109375,0.881427072402938,0.6552262090483619
37,26.790857243537904,0.7078125,0.8947927736450585,0.6457055214723927
38,26.518163042620195,0.7036458333333333,0.9014675052410901,0.6441947565543071
39,26.190929706891378,0.7057291666666666,0.8948453608247423,0.6521412471825695
40,26.45456947999842,0.725,0.9021052631578947,0.663312693498452
41,25.21814490954081,0.7145833333333333,0.9139004149377593,0.6545319465081724
42,25.506415065129598,0.725,0.9047131147540983,0.6699544764795144
43,26.373097888628642,0.7322916666666667,0.9155645981688708,0.67618332081142
